# solver_mode=flat_xpbd
# particles=4096
# constraints=16002
# substeps=10
# grid=64x64
# stiffness=10000
time_s,step_time_ms,avg_ms,max_ms,error,particles,constraints
0.100000,6.028000,5.410250,6.028000,0.000000,4096,16002
0.200000,5.273300,5.359392,6.028000,0.000001,4096,16002
0.300000,5.277700,5.321794,6.028000,0.000001,4096,16002
0.400000,5.290000,5.304537,6.028000,0.000001,4096,16002
0.500000,5.256100,5.295233,6.028000,0.000001,4096,16002
0.600000,5.287300,5.288419,6.028000,0.000002,4096,16002
0.700000,5.223100,5.282788,6.028000,0.000002,4096,16002
0.800000,5.184700,5.286852,6.028000,0.000001,4096,16002
0.900000,6.065600,5.323526,6.153500,0.000002,4096,16002
1.000000,6.185700,5.327720,6.185700,0.000002,4096,16002
1.100000,5.353800,5.333223,6.185700,0.000001,4096,16002
1.200000,6.259800,5.367269,6.259800,0.000001,4096,16002
1.300000,6.267300,5.381506,6.267300,0.000001,4096,16002
1.400000,5.207300,5.388068,6.267300,0.000001,4096,16002
1.500000,6.142400,5.417663,6.278300,0.000001,4096,16002
1.600000,6.153400,5.423197,6.278300,0.000001,4096,16002
1.700000,5.244600,5.423440,6.278300,23430.023119,4096,16002
1.800000,6.333100,5.434944,6.333100,48038.960288,4096,16002
1.900000,5.255400,5.434736,6.333100,73090.398301,4096,16002
2.000000,5.250600,5.424795,6.333100,98489.959993,4096,16002
2.100000,6.312900,5.432856,6.333100,124082.742683,4096,16002
2.200000,5.239700,5.425107,6.333100,149016.641939,4096,16002
2.300000,5.353900,5.417157,6.333100,158703.947333,4096,16002
2.400000,5.231800,5.414526,6.333100,158909.771737,4096,16002
2.500000,5.251700,5.408257,6.333100,160844.649223,4096,16002
2.600000,5.238600,5.407385,6.333100,158791.449680,4096,16002
2.700000,6.125200,5.410894,6.333100,152017.558736,4096,16002
2.800000,5.234500,5.405818,6.333100,144329.839901,4096,16002
2.900000,6.370500,5.417566,6.402000,135546.335108,4096,16002
3.000000,5.488700,5.417562,6.402000,125539.815339,4096,16002
3.100000,5.750000,5.417116,6.402000,111052.136452,4096,16002
3.200000,6.356000,5.426174,6.402000,93782.469374,4096,16002
3.300000,5.221700,5.423040,6.402000,70429.679003,4096,16002
3.400000,5.591700,5.425358,6.402000,44906.983540,4096,16002
3.500000,6.171700,5.435273,6.402000,32395.624778,4096,16002
3.600000,6.113800,5.441861,6.402000,53514.780342,4096,16002
3.700000,5.242400,5.445848,6.402000,67209.447142,4096,16002
3.800000,5.258800,5.440439,6.402000,72370.986664,4096,16002
3.900000,5.238900,5.435628,6.402000,65682.675672,4096,16002
4.000000,5.267900,5.431284,6.402000,53392.839118,4096,16002
4.100000,5.243100,5.426463,6.402000,45294.572201,4096,16002
4.200000,5.741300,5.424485,6.402000,52747.801862,4096,16002
4.300000,6.413800,5.429785,6.413800,58653.624223,4096,16002
4.400000,6.159200,5.433150,6.413800,50716.272233,4096,16002
4.500000,5.668400,5.438417,6.413800,47204.796809,4096,16002
4.600000,5.212500,5.433902,6.413800,46382.520933,4096,16002
4.700000,5.232900,5.429674,6.413800,58649.112010,4096,16002
4.800000,6.453000,5.430530,6.453000,68753.495624,4096,16002
4.900000,5.775100,5.431119,6.453000,69975.740774,4096,16002
5.000000,6.391600,5.435047,6.453000,57164.350422,4096,16002
5.100000,6.046700,5.438907,6.479100,32427.579717,4096,16002
5.200000,6.309800,5.442726,6.492600,25937.655537,4096,16002
5.300000,5.350700,5.443476,6.492600,44952.127714,4096,16002
5.400000,5.242800,5.442316,6.492600,60868.462142,4096,16002
5.500000,6.378700,5.442795,6.492600,64061.613974,4096,16002
5.600000,6.343400,5.443478,6.492600,63778.733878,4096,16002
5.700000,6.256200,5.443018,6.492600,57802.747006,4096,16002
5.800000,6.487800,5.446353,6.492600,56092.963114,4096,16002
5.900000,6.344400,5.447559,6.492600,62080.279047,4096,16002
6.000000,5.238300,5.450049,6.492600,60939.860218,4096,16002
6.100000,5.863700,5.450843,6.492600,52684.863696,4096,16002
6.200000,5.709300,5.450229,6.492600,57593.682428,4096,16002
6.300000,6.350400,5.450934,6.492600,85135.205710,4096,16002
6.400000,5.763300,5.451359,6.492600,113888.749468,4096,16002
6.500000,5.227700,5.449742,6.492600,123945.608443,4096,16002
6.600000,6.282900,5.454789,6.492600,132660.238660,4096,16002
6.700000,5.739400,5.453529,6.492600,141981.018684,4096,16002
6.800000,6.146500,5.454603,6.492600,151650.148778,4096,16002
6.900000,5.227500,5.452080,6.492600,154529.161737,4096,16002
7.000000,5.800600,5.451153,6.492600,150511.037728,4096,16002
7.100000,5.428500,5.452450,6.492600,147646.287621,4096,16002
7.200000,6.498000,5.455539,6.498000,143134.453292,4096,16002
7.300000,5.219600,5.460408,6.498000,131265.273475,4096,16002
7.400000,5.300100,5.458020,6.498000,115115.005735,4096,16002
7.500000,5.262000,5.457358,6.498000,94237.839940,4096,16002
7.600000,5.210400,5.455052,6.498000,70806.933378,4096,16002
7.700000,5.266700,5.452664,6.498000,58133.765182,4096,16002
7.800000,5.220000,5.450184,6.498000,54650.232757,4096,16002
7.900000,5.227700,5.448898,6.498000,47208.171072,4096,16002
8.000000,5.209500,5.450478,6.498000,46276.938825,4096,16002
8.100000,5.179100,5.450700,6.498000,54053.869554,4096,16002
8.200000,5.192900,5.450060,6.498000,56021.522941,4096,16002
8.300000,5.186400,5.448244,6.498000,54702.319598,4096,16002
8.400000,5.234200,5.446409,6.498000,53287.411878,4096,16002
8.500000,5.959300,5.447455,6.498000,54213.014145,4096,16002
8.600000,5.176100,5.445742,6.498000,45796.323533,4096,16002
8.700000,5.237500,5.447956,6.498000,30426.734069,4096,16002
8.800000,5.322400,5.446689,6.498000,39692.452941,4096,16002
