# solver_mode=flat_xpbd
# particles=10000
# constraints=39402
# substeps=10
# grid=100x100
# stiffness=10000
time_s,step_time_ms,avg_ms,max_ms,error,particles,constraints
0.100000,13.229200,13.138117,13.284000,186708.093563,10000,39402
0.200000,13.157200,13.163175,13.284000,339169.820017,10000,39402
0.300000,13.213500,13.163106,13.284000,485723.534754,10000,39402
0.400000,13.166500,13.132383,13.284000,497327.693517,10000,39402
0.500000,13.175100,13.136860,13.284000,508335.127928,10000,39402
0.600000,13.168600,13.143000,13.284000,532143.129555,10000,39402
0.700000,12.898900,13.118490,13.284000,562249.581127,10000,39402
0.800000,12.958200,13.098848,13.284000,543328.501841,10000,39402
0.900000,12.932600,13.081878,13.284000,488526.385216,10000,39402
1.000000,13.156100,13.075973,13.284000,435353.188146,10000,39402
1.100000,13.069600,13.081821,13.284000,414875.440262,10000,39402
1.200000,13.175600,13.087703,13.284000,422720.635514,10000,39402
1.300000,13.229600,13.093447,13.284000,455734.769932,10000,39402
1.400000,13.163800,13.097781,13.284000,460552.117672,10000,39402
1.500000,13.091400,13.102113,13.284000,433987.114532,10000,39402
1.600000,13.163100,13.107753,13.284000,413549.967139,10000,39402
1.700000,13.211600,13.111017,13.284000,425675.931378,10000,39402
1.800000,13.239900,13.114345,13.284000,462921.209570,10000,39402
1.900000,12.827900,13.112646,13.284000,491034.602061,10000,39402
2.000000,13.171000,13.116683,13.284000,507110.145087,10000,39402
2.100000,13.131700,13.117302,13.284000,515081.014205,10000,39402
2.200000,13.158900,13.119756,13.284000,538907.922611,10000,39402
2.300000,12.834800,13.120343,13.284000,557976.715792,10000,39402
2.400000,12.970100,13.114295,13.284000,530767.516494,10000,39402
2.500000,13.113700,13.113027,13.284000,487497.354948,10000,39402
2.600000,13.131300,13.113385,13.284000,447693.581085,10000,39402
2.700000,13.172900,13.116153,13.284000,421841.635917,10000,39402
2.800000,12.943800,13.110499,13.284000,386720.377878,10000,39402
2.900000,13.131200,13.111264,13.284000,413511.354156,10000,39402
3.000000,12.958700,13.110298,13.284000,437692.322969,10000,39402
3.100000,13.091900,13.110721,13.284000,467869.544585,10000,39402
3.200000,13.166900,13.112573,13.308300,453953.718010,10000,39402
3.300000,13.150300,13.113733,13.308300,428492.599957,10000,39402
3.400000,13.012000,13.115019,13.308300,393245.300214,10000,39402
3.500000,12.850400,13.111142,13.308300,399130.596371,10000,39402
3.600000,12.960700,13.106870,13.308300,440226.336756,10000,39402
3.700000,13.006300,13.104471,13.308300,476165.204312,10000,39402
3.800000,13.120300,13.101352,13.308300,464640.640377,10000,39402
3.900000,13.132500,13.099337,13.308300,410820.892262,10000,39402
4.000000,13.256500,13.101878,13.308300,368516.868024,10000,39402
4.100000,13.001600,13.100515,13.308300,355278.937936,10000,39402
4.200000,13.134200,13.099721,13.308300,333857.757369,10000,39402
4.300000,13.209700,13.102050,13.308300,348914.154925,10000,39402
4.400000,13.186100,13.101971,13.320400,387991.558090,10000,39402
4.500000,13.018400,13.101118,13.320400,401116.763585,10000,39402
4.600000,12.999800,13.098471,13.320400,410984.336263,10000,39402
4.700000,12.860300,13.095702,13.320400,410284.224343,10000,39402
4.800000,12.997900,13.093861,13.320400,383932.123347,10000,39402
4.900000,13.202000,13.094024,13.320400,340809.254450,10000,39402
5.000000,13.192100,13.095345,13.320400,344004.683438,10000,39402
5.100000,13.213400,13.097844,13.320400,359251.851442,10000,39402
5.200000,12.967100,13.095831,13.320400,374735.285675,10000,39402
5.300000,13.218500,13.096519,13.320400,365994.992936,10000,39402
5.400000,13.066500,13.097499,13.347400,382706.530454,10000,39402
5.500000,12.997800,13.095667,13.347400,399155.751123,10000,39402
5.600000,12.954700,13.094051,13.347400,382398.287583,10000,39402
5.700000,13.028700,13.092055,13.347400,382913.300614,10000,39402
5.800000,13.012000,13.090115,13.347400,379692.500548,10000,39402
5.900000,12.908100,13.088458,13.347400,351925.661690,10000,39402
6.000000,12.897200,13.087676,13.371200,326676.243547,10000,39402
6.100000,13.027400,13.086094,13.371200,279951.459723,10000,39402
6.200000,12.919700,13.086628,13.685900,238675.520562,10000,39402
6.300000,13.004800,13.085496,13.685900,244250.211381,10000,39402
6.400000,13.188800,13.087022,13.685900,283626.794484,10000,39402
6.500000,13.249600,13.088338,13.685900,305309.375350,10000,39402
6.600000,13.202500,13.090000,13.685900,291160.199000,10000,39402
6.700000,13.152200,13.091521,13.685900,278452.742538,10000,39402
6.800000,13.182800,13.093200,13.685900,281979.938429,10000,39402
6.900000,13.112000,13.093778,13.685900,265021.710366,10000,39402
7.000000,13.178400,13.095339,13.685900,230991.864646,10000,39402
7.100000,13.009700,13.095270,13.685900,224689.936473,10000,39402
7.200000,13.048400,13.093702,13.685900,217308.099611,10000,39402
7.300000,13.121600,13.092203,13.685900,196844.562478,10000,39402
7.400000,12.984800,13.091729,13.685900,206367.649976,10000,39402
7.500000,12.843000,13.090294,13.685900,212643.586052,10000,39402
7.600000,12.960000,13.089143,13.685900,211352.550948,10000,39402
7.700000,13.043000,13.088356,13.685900,231189.597713,10000,39402
7.800000,12.991300,13.087678,13.685900,242541.837114,10000,39402
7.900000,13.075900,13.086713,13.685900,221957.704395,10000,39402
8.000000,13.055300,13.085776,13.685900,209143.885802,10000,39402
8.100000,12.895600,13.084069,13.685900,203829.594048,10000,39402
8.200000,12.991600,13.082665,13.685900,213477.388193,10000,39402
8.300000,13.015100,13.081853,13.685900,223973.961707,10000,39402
8.400000,13.217800,13.084086,13.685900,243995.906204,10000,39402
8.500000,13.028400,13.083869,13.685900,241725.780070,10000,39402
8.600000,13.019400,13.082811,13.685900,248605.539167,10000,39402
8.700000,13.007400,13.081568,13.685900,251213.878306,10000,39402
8.800000,13.011600,13.080331,13.685900,254702.365327,10000,39402
8.900000,13.023700,13.079292,13.685900,270431.938737,10000,39402
9.000000,13.000400,13.078493,13.685900,270231.813039,10000,39402
9.100000,13.019600,13.077703,13.685900,246202.665764,10000,39402
9.200000,13.255000,13.079069,13.685900,243935.246104,10000,39402
9.300000,12.931400,13.079237,13.685900,241947.897710,10000,39402
9.400000,13.349400,13.079463,13.685900,249762.319334,10000,39402
9.500000,13.231700,13.081390,13.685900,251294.242405,10000,39402
9.600000,13.186700,13.082148,13.685900,251383.212979,10000,39402
9.700000,13.059100,13.083179,13.685900,226246.508221,10000,39402
9.800000,13.225100,13.083215,13.685900,217520.894992,10000,39402
9.900000,13.688300,13.085703,13.688300,219433.111723,10000,39402
10.000000,12.940900,13.084970,13.688300,203449.207180,10000,39402
10.100000,13.236200,13.085819,13.688300,178006.461055,10000,39402
10.200000,13.186400,13.087102,13.688300,167844.258031,10000,39402
10.300000,13.320300,13.088649,13.688300,163241.238526,10000,39402
10.400000,13.062500,13.088345,13.688300,167133.014755,10000,39402
10.500000,13.026600,13.087702,13.688300,168282.914470,10000,39402
10.600000,12.965800,13.087248,13.688300,161531.609291,10000,39402
10.700000,13.078700,13.086659,13.688300,185843.104344,10000,39402
10.800000,13.207000,13.088159,13.688300,204866.408644,10000,39402
10.900000,13.011300,13.087680,13.688300,193469.552141,10000,39402
11.000000,13.003900,13.086781,13.688300,195676.954447,10000,39402
11.100000,12.962000,13.086190,13.688300,197538.704435,10000,39402
11.200000,13.021500,13.085739,13.688300,190499.554006,10000,39402
11.300000,13.203100,13.086688,13.688300,179783.347470,10000,39402
11.400000,12.982500,13.086749,13.688300,159832.282295,10000,39402
11.500000,12.994900,13.086059,13.688300,131597.628048,10000,39402
11.600000,13.050400,13.085688,13.688300,141295.591927,10000,39402
11.700000,13.196000,13.086544,13.688300,151793.885657,10000,39402
11.800000,13.028000,13.087513,13.688300,155285.645938,10000,39402
11.900000,13.056100,13.086983,13.688300,173789.630590,10000,39402
12.000000,13.038500,13.086405,13.688300,184992.921558,10000,39402
12.100000,12.941000,13.085606,13.688300,201259.649346,10000,39402
12.200000,13.036000,13.085182,13.688300,205847.355033,10000,39402
12.300000,13.065400,13.084623,13.688300,213209.527415,10000,39402
12.400000,13.163600,13.085914,13.688300,212499.926347,10000,39402
12.500000,13.186100,13.086899,13.688300,206110.953800,10000,39402
12.600000,13.128900,13.088501,13.688300,208956.880010,10000,39402
12.700000,13.141000,13.089463,13.688300,210762.115251,10000,39402
12.800000,13.271600,13.090860,13.688300,225819.916699,10000,39402
12.900000,13.332200,13.091999,13.688300,238013.633337,10000,39402
