# solver_mode=hierarchical
# particles=10000
# constraints=39402
# substeps=10
# grid=100x100
# stiffness=10000
time_s,step_time_ms,avg_ms,max_ms,error,particles,constraints
0.100000,12.688300,12.228883,12.688300,186440.583907,10000,39402
0.200000,12.281900,12.157075,12.688300,341223.040157,10000,39402
0.300000,11.976900,12.109867,12.688300,489334.614253,10000,39402
0.400000,12.134400,12.123421,12.688300,500839.635144,10000,39402
0.500000,12.166000,12.132907,12.688300,512080.617388,10000,39402
0.600000,12.171900,12.131453,12.688300,536089.452237,10000,39402
0.700000,12.105800,12.131936,12.688300,566442.647666,10000,39402
0.800000,12.270500,12.144217,12.688300,547702.277900,10000,39402
0.900000,12.184600,12.145939,12.688300,492893.152394,10000,39402
1.000000,12.147500,12.149427,12.688300,439359.645538,10000,39402
1.100000,12.163600,12.149842,12.688300,418228.107241,10000,39402
1.200000,11.904100,12.132236,12.688300,425696.850769,10000,39402
1.300000,12.216900,12.131167,12.688300,458441.076647,10000,39402
1.400000,12.157200,12.136883,12.688300,463527.439385,10000,39402
1.500000,12.083800,12.137591,12.688300,436412.478815,10000,39402
1.600000,12.089100,12.135340,12.688300,416194.695198,10000,39402
1.700000,12.118600,12.132431,12.688300,428275.952073,10000,39402
1.800000,11.928800,12.128319,12.688300,466352.586613,10000,39402
1.900000,12.148500,12.120475,12.688300,494824.831718,10000,39402
2.000000,12.113800,12.121633,12.688300,510845.236924,10000,39402
2.100000,11.954800,12.116986,12.688300,518148.367752,10000,39402
2.200000,11.903900,12.109670,12.688300,542363.916350,10000,39402
2.300000,11.988300,12.103236,12.688300,561744.888861,10000,39402
2.400000,12.188000,12.108530,12.688300,535139.067160,10000,39402
2.500000,12.152000,12.113113,12.688300,492661.889393,10000,39402
2.600000,12.232000,12.114527,12.688300,450694.003487,10000,39402
2.700000,12.094600,12.116377,12.688300,425284.355149,10000,39402
2.800000,12.141600,12.118029,12.688300,395300.919937,10000,39402
2.900000,12.247900,12.119712,12.688300,417917.932327,10000,39402
3.000000,11.939700,12.118614,12.688300,449432.658597,10000,39402
3.100000,11.883700,12.113543,12.688300,473665.923527,10000,39402
3.200000,12.162700,12.115989,12.688300,448516.923140,10000,39402
3.300000,11.878900,12.113994,12.688300,428032.975140,10000,39402
3.400000,12.131500,12.112300,12.688300,387984.884886,10000,39402
3.500000,12.234700,12.115743,12.688300,414662.958462,10000,39402
3.600000,12.302400,12.112899,12.688300,456604.446026,10000,39402
3.700000,12.343300,12.116430,12.688300,491259.494936,10000,39402
3.800000,11.914000,12.115159,12.688300,477677.736649,10000,39402
3.900000,12.243100,12.117809,12.688300,425356.783116,10000,39402
4.000000,11.928300,12.113129,12.688300,364091.432914,10000,39402
4.100000,11.894600,12.108098,12.688300,348080.228866,10000,39402
4.200000,12.177000,12.109797,12.688300,332835.712937,10000,39402
4.300000,11.896300,12.110700,12.688300,358836.249771,10000,39402
4.400000,11.935500,12.107326,12.688300,413227.374139,10000,39402
4.500000,11.911100,12.105298,12.688300,423025.060269,10000,39402
4.600000,12.302000,12.104330,12.688300,427328.941757,10000,39402
4.700000,12.145000,12.107092,12.688300,429148.624873,10000,39402
4.800000,12.297600,12.110147,12.688300,402388.455586,10000,39402
4.900000,12.308100,12.111515,12.688300,355318.945130,10000,39402
5.000000,12.201900,12.111867,12.688300,324464.555688,10000,39402
5.100000,12.078600,12.112971,12.688300,337260.040875,10000,39402
5.200000,12.132800,12.114837,12.688300,361195.697829,10000,39402
5.300000,12.177900,12.116383,12.688300,359086.142776,10000,39402
5.400000,12.145900,12.117388,12.688300,392240.587119,10000,39402
5.500000,12.073400,12.117972,12.688300,416142.653645,10000,39402
5.600000,12.237500,12.118824,12.688300,396764.866245,10000,39402
5.700000,11.961800,12.117452,12.688300,400500.690809,10000,39402
5.800000,11.945100,12.114777,12.688300,408989.274552,10000,39402
5.900000,11.952000,12.112118,12.688300,379656.741211,10000,39402
6.000000,11.987200,12.109669,12.688300,341828.180549,10000,39402
6.100000,11.986500,12.107022,12.688300,278357.789163,10000,39402
6.200000,12.271500,12.107214,12.688300,244636.949989,10000,39402
6.300000,11.916800,12.108384,12.688300,274470.464319,10000,39402
6.400000,12.004300,12.106312,12.688300,314721.261941,10000,39402
6.500000,11.960200,12.104027,12.688300,324263.675079,10000,39402
6.600000,11.962700,12.101829,12.688300,316288.556626,10000,39402
6.700000,11.863500,12.098710,12.688300,306198.742096,10000,39402
6.800000,11.959500,12.096625,12.688300,301050.195394,10000,39402
6.900000,11.953500,12.094283,12.688300,276222.849616,10000,39402
7.000000,12.256100,12.094167,12.688300,255667.035756,10000,39402
7.100000,12.158100,12.095825,12.688300,247581.720591,10000,39402
7.200000,11.965200,12.093819,12.688300,227783.199984,10000,39402
7.300000,12.263900,12.094386,12.688300,215201.291273,10000,39402
7.400000,11.967600,12.094657,12.688300,225018.457209,10000,39402
7.500000,11.817300,12.092308,12.688300,232962.470497,10000,39402
7.600000,11.894100,12.089999,12.688300,240542.521132,10000,39402
7.700000,12.195700,12.090808,12.688300,263590.966204,10000,39402
7.800000,12.163200,12.092033,12.688300,262721.167133,10000,39402
7.900000,11.953100,12.093218,12.688300,239473.264199,10000,39402
8.000000,11.959300,12.091302,12.688300,218394.237081,10000,39402
8.100000,11.848700,12.089426,12.688300,208288.423996,10000,39402
8.200000,11.950100,12.087270,12.688300,230002.608444,10000,39402
8.300000,11.941900,12.085544,12.688300,238898.282534,10000,39402
8.400000,11.967500,12.084160,12.688300,261666.859754,10000,39402
8.500000,11.911900,12.082712,12.688300,261044.012288,10000,39402
8.600000,11.934300,12.081061,12.688300,263075.990967,10000,39402
8.700000,11.841200,12.079435,12.688300,255629.395712,10000,39402
8.800000,11.911200,12.077934,12.688300,262989.436462,10000,39402
8.900000,11.919700,12.077523,12.688300,278326.175786,10000,39402
9.000000,12.321300,12.077490,12.688300,267312.999808,10000,39402
9.100000,11.841700,12.076829,12.688300,238097.477951,10000,39402
9.200000,12.034300,12.076181,12.688300,228416.604803,10000,39402
9.300000,11.977500,12.075004,12.688300,229522.913085,10000,39402
9.400000,12.101200,12.074508,12.688300,241021.340129,10000,39402
9.500000,11.836800,12.075407,12.688300,235795.095880,10000,39402
9.600000,11.932800,12.073994,12.688300,235219.054093,10000,39402
9.700000,12.487000,12.075386,12.688300,214303.991748,10000,39402
9.800000,11.946500,12.075890,12.688300,214383.414485,10000,39402
9.900000,12.074300,12.075563,12.688300,213705.233231,10000,39402
10.000000,11.971800,12.074255,12.688300,211326.021382,10000,39402
10.100000,12.325100,12.075274,12.688300,197654.930222,10000,39402
10.200000,11.954300,12.075479,12.688300,179110.858527,10000,39402
10.300000,12.023300,12.074310,12.688300,160686.259576,10000,39402
10.400000,12.034200,12.073287,12.688300,165166.712368,10000,39402
10.500000,12.273800,12.073940,12.688300,162653.440104,10000,39402
10.600000,11.968400,12.074353,12.688300,169365.318148,10000,39402
10.700000,11.944800,12.073268,12.688300,189365.500339,10000,39402
10.800000,12.317600,12.075127,12.688300,204094.201495,10000,39402
10.900000,11.914900,12.073743,12.688300,199211.133963,10000,39402
11.000000,12.160600,12.073816,12.688300,199226.057983,10000,39402
11.100000,12.845100,12.075383,12.845100,195425.617248,10000,39402
11.200000,12.240200,12.076457,12.845100,196476.667421,10000,39402
11.300000,11.963800,12.076071,12.845100,177032.601426,10000,39402
11.400000,12.000300,12.074839,12.845100,155746.080989,10000,39402
11.500000,12.022200,12.073853,12.845100,127648.787154,10000,39402
11.600000,11.925700,12.072634,12.845100,134582.943020,10000,39402
11.700000,12.225500,12.072691,12.845100,159301.582915,10000,39402
11.800000,12.152800,12.073487,12.845100,167566.751144,10000,39402
11.900000,11.944300,12.074448,12.845100,180736.320493,10000,39402
12.000000,12.240700,12.075561,12.845100,188303.837564,10000,39402
12.100000,12.304900,12.076252,12.845100,195806.452135,10000,39402
12.200000,11.947200,12.075998,12.845100,184673.666405,10000,39402
12.300000,12.193500,12.075134,12.845100,185025.085061,10000,39402
12.400000,12.077200,12.075891,12.845100,193287.780015,10000,39402
12.500000,11.946300,12.075274,12.845100,191456.104460,10000,39402
12.600000,12.221000,12.074895,12.845100,194191.113873,10000,39402
12.700000,12.387500,12.075898,12.845100,200073.643518,10000,39402
12.800000,11.937900,12.074902,12.845100,214054.820859,10000,39402
12.900000,11.903900,12.073695,12.845100,224334.278042,10000,39402
13.000000,12.121700,12.073068,12.845100,233761.195434,10000,39402
13.100000,11.961800,12.073609,12.845100,226681.492600,10000,39402
13.200000,12.165300,12.074191,12.845100,212322.059031,10000,39402
13.300000,12.212900,12.074554,12.845100,195810.984956,10000,39402
13.400000,11.934400,12.074677,12.845100,181495.763179,10000,39402
13.500000,11.991800,12.073947,12.845100,163419.002611,10000,39402
13.600000,11.935300,12.073038,12.845100,156840.307574,10000,39402
13.700000,11.982100,12.072185,12.845100,154025.406737,10000,39402
13.800000,12.282700,12.072150,12.845100,149518.452964,10000,39402
13.900000,12.095000,12.073254,12.845100,143606.157244,10000,39402
14.000000,12.192600,12.073907,12.845100,149295.584851,10000,39402
14.100000,12.133100,12.074542,12.845100,149488.614278,10000,39402
14.200000,12.125500,12.075336,12.845100,145317.098617,10000,39402
14.300000,12.282800,12.076126,12.845100,136909.917699,10000,39402
14.400000,11.931900,12.075086,12.845100,116744.916526,10000,39402
14.500000,11.945400,12.074162,12.845100,97115.887190,10000,39402
14.600000,11.921000,12.073173,12.845100,108263.626813,10000,39402
14.700000,11.997100,12.072297,12.845100,121052.864030,10000,39402
14.800000,12.141000,12.073158,12.845100,135850.970295,10000,39402
14.900000,12.221400,12.074089,12.845100,148883.547521,10000,39402
15.000000,12.144200,12.074806,12.845100,162985.245519,10000,39402
