time_s,step_time_ms,avg_ms,max_ms,error,particles,constraints
0.100000,0.081200,0.091233,0.128300,0.000000,256,930
0.200000,0.082400,0.087000,0.128300,0.000000,256,930
0.300000,0.081500,0.085422,0.128300,0.000000,256,930
0.400000,0.082000,0.084625,0.128300,0.000000,256,930
0.500000,0.081700,0.094193,0.243000,0.000000,256,930
0.600000,0.081700,0.101022,0.243000,0.000000,256,930
0.700000,0.084400,0.102148,0.243000,0.000000,256,930
0.800000,0.083700,0.106363,0.243000,1063.784537,256,930
0.900000,0.081900,0.106854,0.243000,2818.899775,256,930
1.000000,0.241500,0.109688,0.243000,1472.361502,256,930
1.100000,0.081800,0.109574,0.243000,1304.727826,256,930
1.200000,0.242400,0.109474,0.243000,415.589749,256,930
1.300000,0.081500,0.113510,0.243000,1111.139912,256,930
1.400000,0.081400,0.118124,0.246100,785.057753,256,930
1.500000,0.083100,0.119337,0.246100,591.940035,256,930
1.600000,0.082600,0.120469,0.246100,1027.991976,256,930
1.700000,0.084100,0.118706,0.246100,318.350432,256,930
1.800000,0.081700,0.119648,0.246100,736.757308,256,930
1.900000,0.083900,0.118909,0.246100,676.783193,256,930
2.000000,0.081800,0.119726,0.246100,248.826464,256,930
2.100000,0.128900,0.118335,0.246100,1262.575711,256,930
2.200000,0.082200,0.119140,0.246100,1831.550010,256,930
2.300000,0.081700,0.118728,0.246100,1616.198143,256,930
2.400000,0.082000,0.118363,0.246900,584.586410,256,930
2.500000,0.081600,0.120117,0.246900,579.028110,256,930
2.600000,0.083300,0.119491,0.246900,541.101987,256,930
2.700000,0.081700,0.120261,0.270100,229.159171,256,930
2.800000,0.081700,0.119851,0.270100,504.305142,256,930
2.900000,0.081600,0.118801,0.270100,512.343093,256,930
3.000000,0.082000,0.119354,0.270100,182.022044,256,930
3.100000,0.126900,0.119264,0.270100,426.967012,256,930
3.200000,0.081700,0.119780,0.270100,1268.213715,256,930
3.300000,0.081900,0.120243,0.270100,1599.083958,256,930
3.400000,0.081900,0.121497,0.270100,605.831433,256,930
3.500000,0.083500,0.121988,0.270100,616.292756,256,930
3.600000,0.081600,0.122392,0.270100,471.242640,256,930
3.700000,0.082000,0.122603,0.270100,429.153742,256,930
3.800000,0.083400,0.121555,0.270100,564.767750,256,930
3.900000,0.081700,0.121238,0.270100,269.448987,256,930
4.000000,0.085200,0.122290,0.270100,502.005009,256,930
4.100000,0.081800,0.121829,0.270100,804.154938,256,930
4.200000,0.082900,0.122653,0.270100,1104.168424,256,930
4.300000,0.081700,0.122330,0.270100,927.366226,256,930
4.400000,0.081700,0.123102,0.270100,448.559152,256,930
4.500000,0.081800,0.122780,0.270100,256.416474,256,930
4.600000,0.083600,0.121900,0.270100,335.574776,256,930
4.700000,0.081900,0.121054,0.270100,233.615799,256,930
4.800000,0.082700,0.120371,0.270100,410.940841,256,930
4.900000,0.083900,0.120156,0.270100,860.739687,256,930
5.000000,0.082000,0.119402,0.270100,927.678537,256,930
5.100000,0.082200,0.118696,0.270100,366.072372,256,930
5.200000,0.116500,0.118624,0.270100,311.438143,256,930
5.300000,0.082400,0.117989,0.270100,237.751432,256,930
5.400000,0.081700,0.118012,0.270100,260.072370,256,930
5.500000,0.082200,0.117358,0.270100,539.779604,256,930
5.600000,0.082100,0.117239,0.270100,688.893080,256,930
5.700000,0.082600,0.117927,0.270100,637.083461,256,930
5.800000,0.082300,0.118701,0.270100,414.148135,256,930
5.900000,0.090600,0.118564,0.270100,230.359972,256,930
6.000000,0.083000,0.118409,0.270100,183.013762,256,930
6.100000,0.083700,0.118754,0.270100,260.410418,256,930
6.200000,0.083000,0.119030,0.270100,566.934197,256,930
6.300000,0.082300,0.118885,0.270100,614.375116,256,930
6.400000,0.092600,0.118753,0.270100,439.380727,256,930
6.500000,0.082100,0.118194,0.270100,202.444431,256,930
6.600000,0.083800,0.117653,0.270100,178.110423,256,930
6.700000,0.087700,0.117134,0.270100,266.127943,256,930
6.800000,0.082900,0.116624,0.270100,616.169682,256,930
6.900000,0.081900,0.116135,0.270100,597.363300,256,930
7.000000,0.083100,0.115653,0.270100,245.359356,256,930
7.100000,0.081900,0.115225,0.270100,115.061267,256,930
7.200000,0.081700,0.115409,0.270100,140.444551,256,930
7.300000,0.084100,0.114963,0.270100,459.016193,256,930
7.400000,0.082300,0.114520,0.270100,630.094398,256,930
7.500000,0.081900,0.114192,0.270100,362.860045,256,930
7.600000,0.126600,0.113900,0.270100,107.451778,256,930
7.700000,0.082000,0.113589,0.270100,104.438817,256,930
7.800000,0.087100,0.113196,0.270100,301.168799,256,930
7.900000,0.082700,0.112816,0.270100,581.817698,256,930
8.000000,0.126800,0.112539,0.270100,497.809428,256,930
8.100000,0.082000,0.112276,0.270100,150.418265,256,930
8.200000,0.084800,0.112094,0.270100,69.740076,256,930
8.300000,0.082000,0.111763,0.270100,203.592269,256,930
8.400000,0.082400,0.111731,0.270100,502.351165,256,930
8.500000,0.083100,0.111511,0.270100,552.860964,256,930
8.600000,0.081700,0.111171,0.270100,276.581654,256,930
8.700000,0.083400,0.110851,0.270100,84.977891,256,930
8.800000,0.173200,0.111479,0.270100,128.245774,256,930
8.900000,0.081800,0.111446,0.270100,391.239238,256,930
9.000000,0.081400,0.111677,0.270100,562.553895,256,930
9.100000,0.104700,0.111687,0.270100,386.131866,256,930
9.200000,0.081900,0.111656,0.270100,124.196720,256,930
9.300000,0.165500,0.111491,0.270100,81.886214,256,930
9.400000,0.081900,0.111177,0.270100,277.085821,256,930
9.500000,0.082100,0.111014,0.270100,520.138256,256,930
9.600000,0.171100,0.111132,0.270100,474.074812,256,930
9.700000,0.180500,0.111198,0.270100,191.037072,256,930
9.800000,0.082200,0.110903,0.270100,52.566363,256,930
9.900000,0.081900,0.110824,0.270100,190.121765,256,930
10.000000,0.082800,0.110788,0.270100,445.418467,256,930
